helka,hepro,heavd,heopd,hekdpl,hekft1,heft1,hedtcp,hekdkk,hesdt,hevalp,hesdff,hesdvt,hest,heur,hesg,hedtr,hegnn,hegn,heplan,trrund,hesaml,hehawb,hesdla,hesdl,hevalt,heknt,hekns,henas,hekdfs,hevals,heknsf,heans,henasf,heknk,henak,hekdfk,hevalk,heknkf,heank,henakf,heot,hedtop,hedtmp
"",500950,1,52221,,,,0,,OSL,0,HKG,,U,F,JOV,20071022,,,,0,,,,,,0,1,SYSTEMA A/S,,,1,0,SYSTEMA A/S,100,SY-NETT AS,,EUR,100,0,VesternGeco AS,,19980119,0
"",500951,1,52222,,,,0,,OSL,0,SHA,,U,F,YBC,20131002,,,,0,,,,,,0,1,SYSTEMA A/S,,,1,0,SYSTEMA A/S,60,ØYEOPTIKK A/S,,NOK,60,0,Janex AS,,19980118,0
"",500954,1,52229,,,,0,,5312,0,6000,,U,F,JOV,20071022,,,,0,,,,,,0,100,SY-NETT AS,,EUR,100,0,VesternGeco AS,60,ØYEOPTIKK A/S,,NOK,60,0,Janex AS,,19980130,0
"",501018,1,52411,,,,0,,5312,0,6000,,,F,TH,20030228,,,,0,,,,,,0,0,A,X,,0,0,,0,B,X,,0,0,,,19981230,0
NO,501152,1,52534,,,,0,,DRM,0,DRM,,,H,JOV,20000901,,,,729,,BB54321,,,,0,0,SYSTEMA AS,X,,0,0,,1002,Systema A/S avd. Drammen,,NOK,1002,0,Systema A/S avd. Drammen,IN,20000901,0
NO,501232,1,52686,,,,0,,LON,0,,,,D,SH,20000104,,11719782954,,0,LON008,000101094,,,,117,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,24,IL-X BUD-SERVICE A/S,,NOK,1,0,SYSTEMA A/S,FT,20011008,0
NO,0,1,52687,,,,20,,,0,0101,2021,O,A,JOV,20000107,,200008017,,0,,,,,VAL,0,176,THARA IMPORT AS,X,NOK,176,0,THARA IMPORT AS,1000,THARA IMPORT AS,,NOK,1000,0,SYSTEMA A/S,IN,20000107,1
NO,500995,1,52688,,,,0,,5000,0,,,,A,SH,20000110,,2000UMMER,,0,,HAWB,,,,0,24,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000110,0
NO,0,1,52689,,,,0,,,0,0101,,,A,SH,20000110,,200008017,,0,,,,,VAL,0,25,T. S. JACOBSEN A/S,,USD,25,0,T. S. JACOBSEN A/S,70,svein huse,,DEM,70,0,ABC SYSTEMER A/S,IN,20000110,0
NO,500995,1,52690,,,,0,,5000,0,,,,A,SH,20000110,,2000UMMER,,0,,HAWB,,,,0,24,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000110,0
NO,0,1,52691,,,,0,,,0,0101,,,A,SH,20000110,,200008017,,0,,,,,VAL,0,25,T. S. JACOBSEN A/S,,USD,25,0,T. S. JACOBSEN A/S,70,svein huse,,DEM,70,0,ABC SYSTEMER A/S,IN,20000110,0
NO,500995,1,52692,,,,0,,5000,0,,,,A,SH,20000110,,2000UMMER,,0,,HAWB,,,,0,25,T. S. JACOBSEN A/S,,USD,25,0,T. S. JACOBSEN A/S,24,svein huse,,DEM,24,0,IL-X BUD-SERVICE A/S,FT,20000110,0
NO,500995,1,52693,,,,20,,1000,0,0302,1000,O,A,SH,20000110,,2000UMMER,,0,,HAWB,,,,0,24,IL-X BUD-SERVICE A/S,,NOK,24,0,IL-X BUD-SERVICE A/S,70,svein huse,,DEM,70,0,ABC SYSTEMER A/S,FT,20000110,1
NO,500995,1,52694,,,,0,,5000,0,,,,A,SH,20000110,,2000UMMER,,0,,HAWB,,,,0,25,T. S. JACOBSEN A/S,,USD,25,0,T. S. JACOBSEN A/S,70,svein huse,,DEM,70,0,ABC SYSTEMER A/S,FT,20000110,0
NO,0,1,52695,,,,20,,,0,,,O,C,JOV,20000110,,12345566,,0,,555555,,,,0,24,IL-X BUD-SERVICE A/S,X,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,50,VOLVO BM MASKIN A/S,,NOK,50,0,VOLVO BM MASKIN A/S,IN,20000110,1
NL,0,1,52696,,,,0,,OSL,0,,,C,A,SK,20000118,,,,0,,,,,,0,0,Ukjent                00000000,,,0,0,,1,SYSTEMA A/S,,,0,0,,FT,20000118,0
GB,0,1,52697,,,,20,,OSLO,0,,,O,H,JOV,20000118,,200001123017001,,0,,,,1,,0,0,SKANBOOK,X,,0,0,SKANBOOK,0,STUDIA AS,,,0,0,,,20000118,11
CH,0,1,52698,,,,20,,OSLO,0,,,O,H,JOV,20000118,,,,0,,,,1,,0,0,CIBA SPEZIALITAETEN CHEMIE AG,X,,0,0,CIBA SPEZIALITAETEN CHEMIE AG,0,WILH WILLUMSEN A/S,,,0,0,,,20000118,11
GB,0,1,52699,,,,20,,OSLO,0,,,O,H,JOV,20000118,,200001123017001,,0,,,,1,,0,0,SKANBOOK,X,,0,0,SKANBOOK,0,STUDIA AS,,,0,0,,,20000118,11
CH,0,1,52700,,,,20,,OSLO,0,,,O,H,JOV,20000118,,,,0,,,,1,,0,0,CIBA SPEZIALITAETEN CHEMIE AG,X,,0,0,CIBA SPEZIALITAETEN CHEMIE AG,0,WILH WILLUMSEN A/S,,,0,0,,,20000118,11
CH,0,1,52701,,,,20,,OSLO,0,,,O,H,JOV,20000118,,501087,,0,,,,1,,0,0,CIBA SPEZIALITAETEN CHEMIE AG,X,,0,0,CIBA SPEZIALITAETEN CHEMIE AG,0,WILH WILLUMSEN A/S,,,0,0,,,20000118,11
CH,0,1,52702,,,,20,,OSLO,0,,,O,H,JOV,20000118,,,,0,,,,1,,0,0,SKANBOOK,X,,0,0,SKANBOOK,0,STUDIA AS,,,0,0,,,20000118,11
DE,501459,1,52704,,,,20,,OSL,0,,,,H,JOV,20000102,,,,823,,AA25507,,"Fred Olsen,Sørenga",OIL,0,0,SKANBOOK,X,,0,0,,24,STUDIA AS,,NOK,30,0,LINJEGODS A/S,DI,20000102,11
DE,501087,1,52705,,,,0,,OSL,0,,,,H,JOV,20000110,,,,0,,,,"Fred Olsen,Sørenga",,0,0,CIBA SPEZIALITAETEN CHEMIE AG,X,,0,0,,50,WILH WILLUMSEN A/S,,NOK,50,0,VOLVO BM MASKIN A/S,FT,20000110,0
DE,501088,1,52706,,,,0,,OSL,0,,,,H,JOV,20000111,,,,0,,,,"Fred Olsen,Sørenga",,0,0,SKANBOOK,X,,0,0,,60,STUDIA AS,,NOK,60,0,Janex AS,EX,20000111,0
DE,501089,1,52708,,,,20,,OSL,0,,,O,H,JOV,20000102,,,,719,,AA25507,,"Fred Olsen,Sørenga",,0,0,SKANBOOK,X,,0,0,,50,STUDIA AS,,NOK,50,0,VOLVO BM MASKIN A/S,FT,20000202,11
NO,501085,1,52709,,,,0,,,0,0101,,,A,JOV,20000127,,200008017,,0,,,,,VAL,0,0,XXXXX,X,,0,0,,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,IN,20000127,0
NO,0,1,52710,,,,0,,OSL,0,0101,,,A,YBC,20000128,,200008017,,0,,,,,VAL,0,176,THARA IMPORT AS,X,NOK,176,0,THARA IMPORT AS,1000,THARA IMPORT AS,,NOK,1000,0,SYSTEMA A/S,IN,19990817,0
NO,0,1,52711,,,,0,,OSL,0,0101,,,A,YBC,20000128,,200008017,,0,,,,,VAL,0,176,THARA IMPORT AS,X,NOK,176,0,THARA IMPORT AS,1000,THARA IMPORT AS,,NOK,1000,0,SYSTEMA A/S,IN,20000120,0
NO,0,1,52712,,,,20,,1000,0,0101,0192,O,A,YBC,20000128,,200008017,,0,,,,,VAL,0,176,THARA IMPORT AS,X,NOK,176,0,THARA IMPORT AS,72,Test leveringsadr,,NOK,72,0,ANDERSEN KONTORMØBLER,IN,19990802,1
NO,0,1,52713,,,,0,,OSL,0,0101,,,A,YBC,20000128,,200008017,,0,,,,,VAL,0,176,THARA IMPORT AS,X,NOK,176,0,THARA IMPORT AS,1000,THARA IMPORT AS,,NOK,1000,0,SYSTEMA A/S,IN,20000128,0
NO,501363,1,52714,,,,0,,1000,0,0101,0192,,A,YBC,20000128,,200008017,,0,,,,,VAL,0,176,THARA IMPORT AS,,NOK,176,0,THARA IMPORT AS,1000,THARA IMPORT AS,,NOK,1000,0,SYSTEMA A/S,IN,20000128,0
NO,500995,1,52715,,,,0,,5000,0,,,,C,SH,20000131,,AWBNUMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000131,0
NO,501091,1,52716,,,,0,,LON,0,,,,D,SH,20000204,,11719782416,,0,,000000000,,,,117,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S xxxxxxxxxxxxxxxx,FT,20000204,0
NO,0,1,52717,,,,0,,1000,0,0101,0010,,A,JOV,20000207,,200008017,,0,,,,,VAL,0,176,THARA IMPORT AS,X,NOK,176,0,THARA IMPORT AS,176,FSLFLØSD,,NOK,176,0,THARA IMPORT AS,IN,19991112,0
NO,501259,1,52718,,,,0,,,0,OSL,,,G,YBC,20000208,,,,0,,,,,,0,24,IL-X BUD-SERVICE A/S,,,30,0,LINJEGODS A/S,60,ØYEOPTIKK A/S,X,,0,0,,FT,20000215,0
"",0,1,52719,,,,0,,,0,,,U,G,JOV,20000208,,,,0,,,,,,0,24,IL-X BUD-SERVICE A/S,X,,0,0,,0,,X,,0,0,,,20000211,0
"",0,1,52720,,,,0,,HAM,0,,,U,G,JOV,20000208,,,,0,,,,,,0,60,ØYEOPTIKK A/S,,,60,0,,0,Postens Lettgods,,,0,0,,,20000211,0
DE,0,1,52722,,,,19,,OSL,0,,,O,A,YBC,20000208,,,,0,,,,,,0,8,TEST LEVERANDØR,,NOK,8,0,Sy-Nett AS,8,Sy-Nett AS,,NOK,8,0,Sy-Nett AS,F1,19991018,10
NO,501092,1,52723,,,,20,,1000,0,0101,0152,O,A,SK,20000208,,200008017,,0,,MEDIMP,,,VAL,0,104,Sy-Nett Ltd,,NOK,104,0,Sy-Nett Ltd,0,SY-NETT AS,,NOK,27,0,STEIN KAASEN,FT,20000208,10
NO,501092,1,52724,,,,0,,1000,0,1500,0152,,A,SK,20000208,,200008017,,0,,MEDIMP,,,VAL,0,104,Sy-Nett Ltd,,NOK,104,0,Sy-Nett Ltd,0,SY-NETT AS,X,,0,0,,FT,20000208,0
NL,501258,1,52725,,,,0,,,0,OSL,AMS,,B,SK,20000208,,,,0,,,,,,100,0,SY-NETT AS,X,NOK,0,0,,104,Sy-Nett Ltd,,NOK,104,0,Sy-Nett Ltd,EX,20000208,0
NO,0,1,52726,,,,0,,,0,,,,G,JOV,20000209,,,,0,,,,,,0,25,T. S. JACOBSEN A/S,X,,0,0,,0,,X,,0,0,,F1,20000211,0
NO,0,1,52727,,,,0,,,0,,,,G,JOV,20000209,,,,0,,,,,,0,27,STEIN KAASEN,X,,0,0,,0,,X,,0,0,,F1,20000212,0
"",0,1,52728,,,,0,,HAM,0,,,U,G,JOV,20000209,,,,0,,,,,,0,50,VOLVO BM MASKIN A/S,,,100,0,,75,"""HAVMAN""",,,75,0,,,20000213,0
"",0,1,52729,,,,0,,,0,,,U,G,JOV,20000209,,,,0,,,,,,0,50,VOLVO BM MASKIN A/S,X,,0,0,,0,,X,,0,0,,,20000212,0
"",0,1,52730,,,,0,,,0,,,U,G,JOV,20000209,,,,0,,,,,,0,50,VOLVO BM MASKIN A/S,X,,0,0,,0,,X,,0,0,,,20000212,0
"",0,1,52731,,,,0,,SHA,0,OSL,SHA,U,G,JOV,20000209,,,,0,,,,,,1,600006,DATA IMPORTØREN A/S,,,600006,0,DATA IMPORTØREN A/S,10,Sy-Nett Pte,X,,0,0,,,20000213,0
NO,501093,1,52732,,,,0,,,0,,,,E,MS,20000211,,00000000000,,0,,000000000,,,,0,0,B,,NOK,1,0,SYSTEMA A/S,0,B,,DEM,2,0,CARGO HANDLING (MIAMI) INC,AM,20000211,0
"",0,1,52733,,,,20,,,0,,,O,G,JOV,20000214,,,,0,,,,,,0,25,T. S. JACOBSEN A/S,X,,0,0,,0,,X,,0,0,,,20000219,11
SG,501094,1,52734,,,,0,,SIN,0,OSL,,,G,JOV,20000214,,,,0,,,,,,0,25,T. S. JACOBSEN A/S,,USD,25,0,T. S. JACOBSEN A/S,6000,BLOMQUIST TRANSPORT A/S (HAM),X,NOK,6000,0,BLOMQUIST TRANSPORT A/S (HAM),EX,20000419,0
DE,0,1,52735,,,,0,,,0,,,,G,JOV,20000214,,,,0,,,,,,0,25,T. S. JACOBSEN A/S,X,,0,0,,0,,X,,0,0,,F1,20000419,0
"",501169,1,52736,,,,20,,OSL,0,OSL,,O,G,JOV,20000214,,,,0,,,,,,0,25,T. S. JACOBSEN A/S,,USD,25,0,T. S. JACOBSEN A/S,30,LINJEGODS A/S,,DEM,28,0,KVÆRNER INDUSTRIER A/S,,20000419,11
NO,501095,1,52737,,,,0,,5000,0,,,,E,SH,20000215,,AWBN11700100144,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000215,0
NO,501096,1,52738,,,,0,,5000,0,,,,E,SH,20000215,,AWBN11700100155,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000215,0
NO,500995,1,52739,,,,0,,5000,0,,,,C,SH,20000215,,AWBNUMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000215,0
US,501097,1,52740,,,,0,,OSL,0,,,,C,SK,20000215,,12345678,,0,,88888888,,,,0,0,SY-NETT INC,X,,0,0,,0,SY-NETT AS,X,,0,0,,FT,20000215,0
NO,501098,1,52741,,,,0,,5000,0,,,,E,SH,20000215,,AWBN11700100166,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000215,0
NO,501099,1,52742,,,,0,,5000,0,,,,E,SH,20000215,,AWBN11700100170,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000215,0
NO,501100,1,52743,,,,0,,5000,0,,,,E,SH,20000215,,AWBN11700100181,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000215,0
NO,501102,1,52744,,,,0,,5000,0,,,,E,SH,20000215,,AWBN11700100192,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000215,0
NO,0,1,52745,,,,20,,,0,,,O,G,TH,20000218,,,,0,,,,,,0,1,Systema AS,,NOK,1,0,SYSTEMA A/S,1,Systema AS,,NOK,1,0,SYSTEMA A/S,E1,20000218,1
NO,501103,1,52746,,,,20,,BGO,0,,,O,E,YBC,20000221,,00000000000,,0,,000000000,,,,0,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,0,PEDER AAS,X,,0,0,,IN,20000221,2
NO,500995,1,52747,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000221,0
NO,500995,1,52748,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000221,0
NO,500995,1,52749,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000221,0
NO,500995,1,52750,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,0,0
NO,500995,1,52751,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000221,0
NO,500995,1,52752,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000221,0
NO,500995,1,52753,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000221,0
NO,500995,1,52754,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000221,0
NO,500995,1,52755,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000221,0
NO,500995,1,52756,,,,0,,5000,0,,,,A,SH,20000221,,2000UMMER,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000221,0
NO,501055,1,52757,,,,20,,,0,0101,,O,A,JOV,20000223,,200008017,,0,,BA98765,,,VAL,0,0,XXXXX,X,,0,0,,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,IN,20000223,10
NO,501104,1,52758,,,,19,,,0,0101,,O,A,JOV,20000223,,200008017,,0,,,,,VAL,0,0,XXXXX,X,,0,0,,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,IN,20000223,1
NO,0,1,52759,,,,0,,0192,0,,,,A,YBC,20000223,,,,0,,,,,,0,10,Test leveringsadr,,NOK,8,0,Sy-Nett AS,10,Sy-Nett Pte,,NOK,8,0,Sy-Nett AS,AM,19991213,0
CN,501105,1,52760,,,,20,,OSL,0,SHA,OSL,O,F,YBC,20000224,,2000121212121,,0,,,,,,0,1212,SYSTEMA A/S,,DKK,1212,0,SYSTEMA A/S,60,ØYEOPTIKK A/S,,NOK,100,0,VesternGeco AS,AM,20000130,12
CN,501180,1,52761,,,,0,,SHA,0,OSL,HKG,,G,YBC,20000224,,,,0,,,,,,0,100,VesternGeco AS,,EUR,100,0,VesternGeco AS,0,A11111111111111111111111111111,X,,0,0,,CT,20000301,0
NO,501107,1,52762,,,,0,,5000,0,,,,E,SH,20000225,,200011700100203,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000225,0
DE,0,1,52763,,,,0,,OSL,0,,,,A,YBC,20000229,,,,0,,,,,,0,13,Thara detaljist,,NOK,13,0,BRØDRENE DAHL A/S,13,BRØDRENE DAHL A/S,,NOK,13,0,BRØDRENE DAHL A/S,AM,20000229,0
NO,0,1,52764,,,,20,,OSL,0,0101,,O,A,YBC,20000229,,200008017,,0,,,,,VAL,0,176,THARA IMPORT AS,X,NOK,176,0,THARA IMPORT AS,176,Toys & Roys,,NOK,176,0,THARA IMPORT AS,IN,20000229,2
NO,20222,1,52765,,,,0,,LON,0,,,,D,SH,20000301,,11719781775,,0,LON007,000101037,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,5,0,AVIS BILUTLEIE A/S,FT,19970304,0
NO,501109,1,52766,,,,0,,5000,0,,,,D,SH,20000302,,11719782431,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000302,0
NO,501110,1,52767,,,,0,,5000,0,,,,D,SH,20000302,,11719782442,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000302,0
NO,501111,1,52768,,,,0,,5000,0,,,,D,SH,20000302,,11719782453,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000302,0
NO,501112,1,52769,,,,0,,5000,0,,,,D,SH,20000302,,11719782464,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000302,0
NO,501113,1,52770,,,,0,,5000,0,,,,D,SH,20000302,,11719782475,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000302,0
NO,501114,1,52771,,,,0,,5000,0,,,,D,SH,20000302,,11719782486,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000302,0
NO,501115,1,52772,,,,0,,5000,0,,,,D,SH,20000302,,11719782490,,0,,000000000,,,,117,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000302,0
